window_size,time_delta,flags_urg,ack,stream,checksum_status,seq,len,flags_res,hdr_len,dstport,flags_push,flags_ns,flags_ack,time_relative,flags_fin,port,window_size_value,flags_ecn,nxtseq,srcport,urgent_pointer,flags_syn,flags_cwr,flags_reset,class
1975808,0,5308065,5308065,0,2,0,0,32,1.26E-05,57984,0,0,1,0.022512465,0,5566,3859,0,1,5566,0,0,0,0,1
512,0,0,1679269236,299,2,1,0,0,20,0,0,0,0,0,0,1745,512,0,1,1745,0,0,0,0,0
101376,0,85457,85457,0,2,0,0,32,7.65E-06,57984,0,0,1,0.002373601,0,5566,198,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,14480,0,32,1.00E-05,5566,1,0,1,0.002383623,0,57984,83,0,99937,57984,0,0,0,0,1
101376,0,99937,99937,0,2,0,0,32,1.01E-05,57984,0,0,1,0.00239368,0,5566,198,0,1,5566,0,0,0,0,1
512,0,0,936100835,294,2,1,0,0,20,0,0,0,0,0,0,1740,512,0,1,1740,0,0,0,0,0
512,0,0,173729233,19,2,1,0,0,20,0,0,0,0,0,0,1465,512,0,1,1465,0,0,0,0,0
512,0,0,1572479871,20,2,1,0,0,20,0,0,0,0,0,0,1466,512,0,1,1466,0,0,0,0,0
512,0,0,1069031056,21,2,1,0,0,20,0,0,0,0,0,0,1467,512,0,1,1467,0,0,0,0,0
512,0,0,305107826,22,2,1,0,0,20,0,0,0,0,0,0,1468,512,0,1,1468,0,0,0,0,0
42496,0,8713,8713,0,2,0,0,32,1.89E-06,57984,0,0,1,0.001936139,0,5566,83,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,1448,0,32,7.99E-06,5566,0,0,1,0.001944129,0,57984,83,0,10161,57984,0,0,0,0,1
42496,0,10161,10161,0,2,0,0,32,2.11E-06,57984,0,0,1,0.001946234,0,5566,83,0,1,5566,0,0,0,0,1
42496,0,8713,8713,0,2,0,0,32,1.89E-06,57984,0,0,1,0.001936139,0,5566,83,0,1,5566,0,0,0,0,1
41984,0,18849,18849,0,2,0,0,32,1.94E-06,57984,0,0,1,0.002070527,0,5566,82,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,2896,0,32,1.24E-05,5566,0,0,1,0.002082915,0,57984,83,0,21745,57984,0,0,0,0,1
41984,0,21745,21745,0,2,0,0,32,1.71E-06,57984,0,0,1,0.002084624,0,5566,82,0,1,5566,0,0,0,0,1
512,0,0,1824833540,296,2,1,0,0,20,0,0,0,0,0,0,1742,512,0,1,1742,0,0,0,0,0
512,0,0,423679907,297,2,1,0,0,20,0,0,0,0,0,0,1743,512,0,1,1743,0,0,0,0,0
42496,0,1,1,0,2,1448,0,32,2.60E-05,5566,0,0,1,0.001886212,0,57984,83,0,2921,57984,0,0,0,0,1
101376,0,78217,78217,0,2,0,0,32,2.12E-06,57984,0,0,1,0.002365952,0,5566,198,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,65160,0,32,0.000190188,5566,0,0,1,0.021578894,0,57984,83,0,4848937,57984,0,0,0,0,1
1975808,0,4848937,4848937,0,2,0,0,32,1.61E-05,57984,0,0,1,0.021594945,0,5566,3859,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,752,0,32,3.80E-05,5566,1,0,1,0.021632924,0,57984,83,0,4849689,57984,0,0,0,0,1
1975808,0,4849689,4849689,0,2,0,0,32,5.84E-06,57984,0,0,1,0.021638762,0,5566,3859,0,1,5566,0,0,0,0,1
512,0,0,725893216,89,2,1,0,0,20,0,0,0,0,0,0,1535,512,0,1,1535,0,0,0,0,0
512,0,0,1717222519,90,2,1,0,0,20,0,0,0,0,0,0,1536,512,0,1,1536,0,0,0,0,0
512,0,0,21732034,91,2,1,0,0,20,0,0,0,0,0,0,1537,512,0,1,1537,0,0,0,0,0
